Административно-управленческий персонал/директор            /1  
Административно-управленческий персонал/зам дир по уч работе/1  
Административно-управленческий персонал/зам дир по УПР      /1  
Административно-управленческий персонал/зам дир по вос  раб /1  
Административно-управленческий персонал/заведующий факультет/4  
Бухгалтерия/Гл бух              /1  
Бухгалтерия/Ст бух              /1  
Бухгалтерия/Бух                 /3  
Бухгалтерия/Кассир              /1  
Отдел кадров/Нач отд кадров      /1  
Отдел кадров/ст инспектор        /1  
Отдел кадров/Инструктор ВУС      /1  
Отдел кадров/Архивариус          /1  
Отдел кадров/Делопроизводитель   /1  
Отдел кадров/Машинистка          /1  
Отдел кадров/Секретарь-референт  /1  
Учебная часть/Завуч               /1  
Учебная часть/Секретарь           /1  
Штат преподавателей/Основной препод     /37 
Штат преподавателей/Совместитель        /19 
